cs_office,cs_type,cs_chapter,cs_joint,cs_vol_invol,cs_judge_inits,cs_county,ifp
1,bk      ,11,y,v,SSM ,51013,0
1,bk      ,7,y,v,VJ  ,51059,0
1,bk      ,7,n,v,KHK ,51059,0
1,bk      ,7,n,v,VJ  ,51059,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,11,n,v,SSM ,51059,0
1,bk      ,13,n,v,KHK ,51059,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,n,v,VJ  ,51153,0
1,bk      ,7,y,v,SSM ,51059,0
4,bk      ,7,n,v,SCS ,51073,0
1,bk      ,7,y,v,VJ  ,51059,0
1,bk      ,7,n,v,VJ  ,51059,0
3,bk      ,13,y,v,DOT ,51087,0
1,bk      ,7,n,v,KHK ,51153,0
1,bk      ,7,n,v,VJ  ,51059,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,y,v,VJ  ,51059,0
1,bk      ,7,n,v,BFK ,51059,0
1,bk      ,7,n,v,VJ  ,51153,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,n,v,VJ  ,51059,0
3,bk      ,7,n,v,KRH ,51760,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,y,v,SSM ,51059,0
1,bk      ,7,y,v,VJ  ,51059,0
3,bk      ,13,n,v,KLP ,51087,0
1,bk      ,7,n,v,VJ  ,51061,0
1,bk      ,7,y,v,VJ  ,51061,0
1,bk      ,7,n,v,VJ  ,51153,0
3,bk      ,7,n,v,KRH ,51145,0
1,bk      ,7,y,v,VJ  ,51061,0
1,bk      ,7,n,v,SSM ,51510,0
1,bk      ,7,n,v,SSM ,51059,0
3,bk      ,7,y,v,KRH ,51087,0
1,bk      ,7,n,v,SSM ,51013,0
1,bk      ,7,n,v,SSM ,51059,0
2,bk      ,7,n,v,SCS ,51810,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,n,v,VJ  ,51013,0
1,bk      ,7,n,v,SSM ,51059,0
3,bk      ,7,n,v,KRH ,51760,0
1,bk      ,7,n,v,SSM ,51153,0
1,bk      ,7,n,v,SSM ,51600,0
3,bk      ,13,n,v,DOT ,51041,0
3,bk      ,13,y,v,KLP ,51149,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,y,v,SSM ,51600,0
1,bk      ,7,n,v,SSM ,51013,0
1,bk      ,7,n,v,VJ  ,51013,0
1,bk      ,7,n,v,SSM ,51153,0
2,bk      ,7,n,v,SCS ,51710,0
1,bk      ,13,n,v,BFK ,51153,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,n,v,SSM ,51510,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,y,v,VJ  ,51510,0
1,bk      ,7,y,v,SSM ,51059,0
1,bk      ,7,n,v,SSM ,51061,0
2,bk      ,7,n,v,SCS ,51740,0
1,bk      ,7,n,v,VJ  ,51061,0
1,bk      ,7,y,v,VJ  ,51061,0
1,bk      ,7,n,v,VJ  ,51061,0
2,bk      ,7,n,v,FJS ,51810,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,11,n,v,SSM ,51107,0
1,bk      ,7,n,v,SSM ,51059,0
3,bk      ,13,y,v,KLP ,51041,0
1,bk      ,7,y,v,VJ  ,51059,0
1,bk      ,7,n,v,VJ  ,51510,0
1,bk      ,7,y,v,SSM ,51059,0
1,bk      ,11,n,v,BFK ,51059,0
1,bk      ,7,y,v,VJ  ,51153,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,n,v,SSM ,51059,0
2,bk      ,7,n,v,FJS ,51810,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,y,v,VJ  ,51059,0
1,bk      ,11,n,v,VJ  ,51013,0
2,bk      ,13,n,v,SCS ,51710,0
1,bk      ,7,n,v,SSM ,51510,0
1,bk      ,7,y,v,SSM ,51059,0
1,bk      ,7,n,v,SSM ,51153,0
1,bk      ,7,n,v,VJ  ,51510,0
1,bk      ,7,n,v,SSM ,51059,0
1,bk      ,7,y,v,VJ  ,51059,0
3,bk      ,13,n,v,KRH ,51760,0
