ALEXANDRIA,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2011,JAN,581,15,1,156,0,753,35,73,,
,FEB,541,9,1,160,0,711,31,62,,
,MAR,761,12,0,213,0,986,27,48,,
,APR,695,4,0,168,0,867,33,59,,
,MAY,673,8,0,162,0,843,43,52,,
,JUN,622,8,0,157,0,787,27,53,,
,JUL,639,7,0,166,0,812,22,32,,
,AUG,650,5,0,182,0,837,25,125,,
,SEP,569,10,0,169,0,748,35,57,,
,OCT,526,6,0,179,0,711,30,53,,
,NOV,563,4,0,157,0,724,25,36,,
,DEC,514,6,0,165,0,685,21,49,,
2011 Totals,,7334,94,2,2034,0,9464,354,699,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ALEXANDRIA,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2012,JAN,488,8,0,135,0,631,15,50,,
,FEB,554,14,0,180,0,748,38,44,,
,MAR,613,7,0,163,0,783,22,45,,
,APR,521,6,0,146,0,673,28,39,,
,MAY,572,6,0,157,0,735,24,76,,
,JUN,491,5,0,143,0,639,35,40,,
,JUL,400,2,0,155,0,557,21,38,,
,AUG,489,5,0,160,0,654,24,59,,
,SEP,412,2,0,149,0,563,23,35,,
,OCT,435,8,0,179,0,622,20,99,,
,NOV,417,6,0,150,0,573,27,29,,
,DEC,384,6,0,120,0,510,22,47,,
2012 Totals,,5776,75,0,1837,0,7688,299,601,,
,,,,,,,,,,,
,,,,,,,,,,,
ALEXANDRIA,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2013,JAN,369,6,0,135,0,510,27,27,,
,FEB,332,7,0,109,0,448,14,38,,
,MAR,418,5,1,107,0,531,23,24,,
,APR,437,8,0,120,0,565,16,21,,
,MAY,391,9,0,134,0,534,20,25,,
,JUN,381,5,0,122,0,508,27,48,,
,JUL,400,5,0,131,0,536,22,30,,
,AUG,341,13,0,120,0,474,32,20,,
,SEP,322,7,0,124,0,453,25,44,,
,OCT,345,1,0,132,0,478,20,31,,
,NOV,307,5,0,104,0,416,23,18,,
,DEC,286,6,0,110,0,402,26,22,,
2013 Totals,,4329,77,1,1448,0,5855,275,348,,
,,,,,,,,,,,
,,,,,,,,,,,
ALEXANDRIA,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2014,JAN,262,3,0,130,0,395,23,25,,
,FEB,258,5,0,90,0,353,15,19,,
,MAR,363,6,0,105,0,474,17,25,,
,APR,374,2,1,105,0,482,17,18,,
,MAY,305,5,0,118,0,428,14,17,,
,JUN,307,6,0,82,0,395,22,20,,
,JUL,309,3,0,111,0,423,23,15,,
,AUG,231,2,0,120,0,353,18,16,,
,SEP,313,5,0,91,0,409,25,15,,
,OCT,308,3,0,113,0,424,21,7,,
,NOV,275,5,0,104,0,384,25,16,,
,DEC,256,5,0,115,0,376,27,17,,
2014 Totals,,3561,50,1,1284,0,4896,247,210,,
,,,,,,,,,,,
,,,,,,,,,,,
ALEXANDRIA,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2015,JAN,245,1,0,117,0,363,13,21,,
,FEB,257,4,0,101,0,362,13,14,,
,MAR,293,3,0,119,0,415,14,18,,
,APR,300,4,0,100,0,404,16,7,,
,MAY,243,10,0,116,0,369,25,17,,
,JUN,289,4,0,113,0,406,11,20,,
,JUL,255,8,0,118,0,381,14,16,,
,AUG,259,5,0,116,0,380,23,15,,
,SEP,273,6,0,131,0,410,16,8,,
,OCT,272,6,0,122,0,400,25,14,,
,NOV,255,8,0,143,0,406,24,19,,
,DEC,232,5,0,97,0,334,13,13,,
2015 Totals,,3173,64,0,1393,0,4630,207,182,,
,,,,,,,,,,,
,,,,,,,,,,,
RICHMOND,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2011,JAN,305,9,0,324,0,638,18,26,,
,FEB,332,4,0,345,0,681,15,65,,
,MAR,528,6,0,374,0,908,19,25,,
,APR,413,4,0,313,1,731,9,16,,
,MAY,365,1,0,362,0,728,9,20,,
,JUN,307,7,0,338,0,652,13,20,,
,JUL,309,4,0,328,0,641,15,16,,
,AUG,330,3,0,358,0,691,16,25,,
,SEP,304,5,0,311,0,620,16,48,,
,OCT,351,1,0,375,0,727,15,16,,
,NOV,308,0,0,315,0,623,5,20,,
,DEC,341,3,0,271,0,615,15,19,,
2011 Totals,,4193,47,0,4014,1,8255,165,316,,
,,,,,,,,,,,
,,,,,,,,,,,
RICHMOND,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2012,JAN,274,3,0,295,0,572,13,29,,
,FEB,360,5,0,342,0,707,8,18,,
,MAR,484,0,0,352,0,836,11,18,,
,APR,326,2,0,297,0,625,6,27,,
,MAY,355,2,0,307,0,664,13,21,,
,JUN,279,1,0,313,0,593,11,21,,
,JUL,302,2,0,267,0,571,10,16,,
,AUG,302,1,0,327,0,630,8,20,,
,SEP,244,0,0,290,0,534,4,16,,
,OCT,273,3,0,338,0,614,5,20,,
,NOV,274,20,0,288,0,582,22,24,,
,DEC,224,2,0,250,0,476,10,21,,
2012 Totals,,3697,41,0,3666,0,7404,121,251,,
,,,,,,,,,,,
,,,,,,,,,,,
RICHMOND,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2013,JAN,210,5,0,280,0,495,12,23,,
,FEB,306,1,0,299,0,606,4,21,,
,MAR,384,3,0,306,0,693,7,24,,
,APR,319,1,0,321,0,641,8,22,,
,MAY,329,3,0,299,0,631,7,25,,
,JUN,294,1,0,268,0,563,4,14,,
,JUL,278,3,0,307,0,588,2,21,,
,AUG,265,3,0,306,0,574,6,23,,
,SEP,254,3,0,297,0,554,7,13,,
,OCT,307,5,0,360,0,672,13,15,,
,NOV,228,1,0,273,0,502,4,18,,
,DEC,277,2,0,250,0,529,8,111,,
2013 Totals,,3451,31,0,3566,0,7048,82,330,,
,,,,,,,,,,,
,,,,,,,,,,,
RICHMOND,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2014,JAN,240,3,0,254,0,497,8,29,,
,FEB,286,2,0,315,0,603,5,2,,
,MAR,353,2,0,284,0,639,7,15,,
,APR,359,36,0,286,0,681,40,19,,
